Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release,Gerd_production
107,[3509.15012552  468.26806571 1429.91682053 7615.10631717],211848284.99615312,293.5667947664474,27983096.558829375,352.5217405791621,1364686.3377442742,311.29419035679473,40468350340.22184,468.2680657104234,50421.06136507672
108,[6182.18063316  404.49070449  841.06806115 7009.69131459],114782747.02723832,143.8277220166774,27469296.546141047,168.34497672548622,570657.6562884352,129.9912637976698,42003609088.69706,404.49070449116095,23349.6083278876
109,[ 727.63006364 3287.44023716 7062.42227156  813.48780642],72566861.98322223,85.87705237543592,27265038.418517612,95.05006600558238,215168.3988577444,49.04879825295872,36488308531.1307,3149.994757498501,12275.041341230217
110,[ 848.37714085 3946.558314   3742.70795756 3706.42147067],53481305.632057786,59.189335120400074,27182354.647205677,65.37017112081804,185896.96585860825,42.260234548655916,30865737056.456112,2720.3155037366196,9257.333700041727
111,[8127.99567258 3788.99430954 9860.01063823 7533.78185259],51460694.14621343,52.07574594050816,27155192.123652216,55.61720544045336,155477.35747535664,35.34749406931007,26439054431.46096,2334.053599492695,7872.1488443489125
112,[3762.59585531  334.00286679 7771.46915927 5584.04249736],81313452.24210477,72.37687313601687,27367628.98995868,131.64544404219615,436955.19346877874,99.20294344554479,28127402635.83293,334.002866794675,11515.15704293011
113,[4242.22009247 3625.41754038 1111.97482306 4926.25104291],240007768.64448825,191.62299945958245,27760703.29208724,272.41514842766287,859024.6885630498,195.07006096872692,24763405490.460136,2164.9462061519416,32356.39241723677
114,[ 113.53644767 1874.64256798  563.03275682 1188.17916268],2378061339.196968,207.9594165466787,28367101.869305227,489.6184274049262,1725668.1115101194,391.8737069064234,21386782805.630573,1856.3215200959912,66011.72199632059
115,[1175.26246777 2596.84120846 7460.44879265 5833.68765097],5015287620.077301,1175.2624677710485,31733649.015777197,1694.8518659667525,7045347.036086835,1599.2290152183666,20873706314.094837,1758.3750411190927,476226.937053735
116,[9621.72548475 1499.48231809 2857.12086282 8685.99128189],3619968858.266295,2234.581782138363,34646268.640624076,2738.602775800525,11822120.078546751,2685.0026235438386,28896616804.665356,1499.4823180948165,808016.7132052642
